param_name,param_value,puzzle_size,alg,alg_name,instances,success_mean,time_mean_mean,time_std_mean,cycles_mean_mean,cycles_std_mean
timeout,7,9x9,2,CP-DCM-ACO,100,100,0.06741,0.06399,107.4647,102.5527
timeout,9,9x9,2,CP-DCM-ACO,100,100,0.06751,0.06254,107.6366,100.24581
timeout,10,16x16,2,CP-DCM-ACO,100,99.9,0.14105,0.19392,39.48473,54.71454
timeout,15,16x16,2,CP-DCM-ACO,100,99.95,0.1414,0.21081,39.69438,59.47851
timeout,20,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
timeout,25,16x16,2,CP-DCM-ACO,100,100,0.14372,0.20105,40.3019,56.61522
timeout,30,16x16,2,CP-DCM-ACO,100,99.99,0.14774,0.22457,41.27713,63.02764
timeout,120,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
xi,0.01,9x9,2,CP-DCM-ACO,100,100,0.06801,0.06436,107.8679,102.6132
xi,0.1,9x9,2,CP-DCM-ACO,100,100,0.06789,0.06352,107.9283,101.7496
xi,0.3,9x9,2,CP-DCM-ACO,100,100,0.06878,0.06524,106.6418,101.70836
xi,0.5,9x9,2,CP-DCM-ACO,100,100,0.07045,0.0666,109.4477,104.15048
xi,0.7,9x9,2,CP-DCM-ACO,100,100,0.06752,0.06395,106.2336,101.18669
xi,0.01,16x16,2,CP-DCM-ACO,100,99.99,0.14091,0.20878,39.50689,58.55259
xi,0.1,16x16,2,CP-DCM-ACO,100,100,0.15035,0.22763,41.0271,62.3527
xi,0.3,16x16,2,CP-DCM-ACO,100,100,0.14608,0.21595,40.947,60.89671
xi,0.5,16x16,2,CP-DCM-ACO,100,99.99,0.1525,0.23321,42.59961,65.30979
xi,0.7,16x16,2,CP-DCM-ACO,100,100,0.14152,0.22211,39.7665,62.60016
xi,0.01,25x25,2,CP-DCM-ACO,101,97.0198,9.32905,11.89285,491.81347,618.06412
xi,0.1,25x25,2,CP-DCM-ACO,100,97.5,8.34722,10.736,540.19795,717.77708
xi,0.3,25x25,2,CP-DCM-ACO,100,96.9,9.42616,11.80298,505.58674,628.20579
xi,0.5,25x25,2,CP-DCM-ACO,100,97.17,9.50763,12.33815,514.91738,662.80916
xi,0.7,25x25,2,CP-DCM-ACO,100,97.25,9.06312,11.32219,509.8571,643.46847
