
============================================================
worker start: rho=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: rho
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: rho (Pheromone Persistence) (rho)

[Config 1/1] rho=0.5 on 25x25
  [rho=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 23/100: OK (time=12.5293s)
    Rep 24/100: OK (time=3.8794s)
    Rep 25/100: OK (time=7.6496s)
    Rep 26/100: OK (time=3.7625s)
    Rep 27/100: OK (time=4.9891s)
    Rep 28/100: OK (time=5.3134s)
    Rep 29/100: OK (time=12.4898s)
    Rep 30/100: OK (time=2.2498s)
    Rep 31/100: OK (time=8.7703s)
    Rep 32/100: OK (time=4.7072s)
    Rep 33/100: OK (time=9.6722s)
    Rep 34/100: OK (time=21.2938s)
    Rep 35/100: OK (time=10.0118s)
    Rep 36/100: OK (time=13.5388s)
    Rep 37/100: OK (time=2.4900s)
    Rep 38/100: OK (time=8.2164s)
    Rep 39/100: OK (time=4.7950s)
    Rep 40/100: OK (time=3.0426s)
    Rep 41/100: OK (time=3.4448s)
    Rep 42/100: OK (time=3.4765s)
    Rep 43/100: OK (time=9.2381s)
    Rep 44/100: OK (time=3.7805s)
    Rep 45/100: OK (time=4.4249s)
    Rep 46/100: OK (time=5.6903s)
    Rep 47/100: OK (time=4.6584s)
    Rep 48/100: OK (time=4.6151s)
    Rep 49/100: OK (time=1.2845s)
    Rep 50/100: OK (time=4.1984s)
    Rep 51/100: OK (time=4.5042s)
    Rep 52/100: OK (time=2.0743s)
    Rep 53/100: OK (time=5.0111s)
    Rep 54/100: OK (time=7.0721s)
    Rep 55/100: OK (time=31.8764s)
    Rep 56/100: OK (time=7.7928s)
    Rep 57/100: OK (time=10.0680s)
    Rep 58/100: OK (time=8.1179s)
    Rep 59/100: OK (time=10.8771s)
    Rep 60/100: OK (time=6.6970s)
    Rep 61/100: OK (time=0.9067s)
    Rep 62/100: OK (time=1.7199s)
    Rep 63/100: OK (time=7.2178s)
    Rep 64/100: OK (time=2.5041s)
    Rep 65/100: OK (time=4.6291s)
    Rep 66/100: OK (time=16.8092s)
    Rep 67/100: OK (time=3.7590s)
    Rep 68/100: OK (time=3.0676s)
    Rep 69/100: OK (time=1.6127s)
    Rep 70/100: OK (time=8.9174s)
    Rep 71/100: OK (time=14.5796s)
    Rep 72/100: OK (time=7.1805s)
    Rep 73/100: OK (time=4.0213s)
    Rep 74/100: OK (time=4.6807s)
    Rep 75/100: OK (time=2.6372s)
    Rep 76/100: OK (time=15.6445s)
    Rep 77/100: OK (time=7.8643s)
    Rep 78/100: OK (time=5.3917s)
    Rep 79/100: OK (time=4.5102s)
    Rep 80/100: OK (time=6.5677s)
    Rep 81/100: OK (time=1.2016s)
    Rep 82/100: OK (time=7.8921s)
    Rep 83/100: OK (time=9.8068s)
    Rep 84/100: OK (time=13.0925s)
    Rep 85/100: OK (time=1.1027s)
    Rep 86/100: OK (time=6.0268s)
    Rep 87/100: OK (time=10.8078s)
    Rep 88/100: OK (time=3.4011s)
    Rep 89/100: OK (time=2.5229s)
    Rep 90/100: OK (time=3.3595s)
    Rep 91/100: OK (time=3.6626s)
    Rep 92/100: OK (time=1.0002s)
    Rep 93/100: OK (time=1.3552s)
    Rep 94/100: OK (time=16.9066s)
    Rep 95/100: OK (time=1.6922s)
    Rep 96/100: OK (time=7.0912s)
    Rep 97/100: OK (time=7.9426s)
    Rep 98/100: OK (time=11.6753s)
    Rep 99/100: OK (time=2.4960s)
    Rep 100/100: OK (time=14.2861s)
    => success%=100.0 time_mean=6.463543 cycles_mean=269.91
  [rho=0.5 [25x25]] (4/50) inst25x25_40_80.txt 
    Rep 1/100: OK (time=2.4876s)
    Rep 2/100: OK (time=1.3140s)
    Rep 3/100: OK (time=2.1396s)
    Rep 4/100: OK (time=4.4375s)
    Rep 5/100: OK (time=3.8580s)
    Rep 6/100: OK (time=3.5760s)
    Rep 7/100: OK (time=3.2243s)
    Rep 8/100: OK (time=1.2031s)
    Rep 9/100: OK (time=2.7196s)
    Rep 10/100: OK (time=0.9144s)
    Rep 11/100: OK (time=1.5468s)
    Rep 12/100: OK (time=4.4801s)
    Rep 13/100: OK (time=0.7929s)
    Rep 14/100: OK (time=0.6885s)
    Rep 15/100: OK (time=2.2627s)
    Rep 16/100: OK (time=0.7030s)
    Rep 17/100: OK (time=0.7993s)
    Rep 18/100: OK (time=3.3606s)
    Rep 19/100: OK (time=5.1902s)
    Rep 20/100: OK (time=1.5082s)
    Rep 21/100: OK (time=2.7165s)
    Rep 22/100: OK (time=2.5473s)
    Rep 23/100: OK (time=6.3465s)
    Rep 24/100: OK (time=0.8683s)
    Rep 25/100: OK (time=2.0456s)
    Rep 26/100: OK (time=1.8069s)
    Rep 27/100: OK (time=1.0661s)
    Rep 28/100: OK (time=1.1489s)
    Rep 29/100: OK (time=3.3781s)
    Rep 30/100: OK (time=2.8063s)
    Rep 31/100: OK (time=4.0236s)
    Rep 32/100: OK (time=0.7459s)
    Rep 33/100: OK (time=2.1082s)
    Rep 34/100: OK (time=1.2124s)
    Rep 35/100: OK (time=3.4213s)
    Rep 36/100: OK (time=0.7583s)
    Rep 37/100: OK (time=2.5048s)
    Rep 38/100: OK (time=0.7033s)
    Rep 39/100: OK (time=2.4841s)
    Rep 40/100: OK (time=3.1193s)
    Rep 41/100: OK (time=1.9969s)
    Rep 42/100: OK (time=3.5419s)
    Rep 43/100: OK (time=0.7679s)
    Rep 44/100: OK (time=0.6997s)
    Rep 45/100: OK (time=2.5662s)
    Rep 46/100: OK (time=10.1334s)
