
============================================================
worker start: xi=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: xi
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: xi (Local Pheromone Update) (xi)

[Config 1/1] xi=0.5 on 25x25
  [xi=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 95/100: OK (time=1.1308s)
    Rep 96/100: OK (time=1.9864s)
    Rep 97/100: OK (time=5.4218s)
    Rep 98/100: OK (time=3.1572s)
    Rep 99/100: OK (time=4.1112s)
    Rep 100/100: OK (time=8.3959s)
    => success%=100.0 time_mean=5.69887 cycles_mean=214.4
  [xi=0.5 [25x25]] (6/50) inst25x25_45_1.txt 
    Rep 1/100: OK (time=2.5684s)
    Rep 2/100: OK (time=2.1466s)
    Rep 3/100: FAIL (time=121.9260s)
    Rep 4/100: FAIL (time=120.4540s)
    Rep 5/100: OK (time=74.1693s)
    Rep 6/100: OK (time=21.9597s)
    Rep 7/100: OK (time=85.0575s)
    Rep 8/100: OK (time=6.7820s)
    Rep 9/100: FAIL (time=120.7020s)
    Rep 10/100: OK (time=2.8106s)
    Rep 11/100: OK (time=57.9348s)
    Rep 12/100: OK (time=19.5684s)
    Rep 13/100: OK (time=1.2139s)
    Rep 14/100: OK (time=64.3436s)
    Rep 15/100: OK (time=112.5190s)
    Rep 16/100: OK (time=21.2857s)
    Rep 17/100: OK (time=13.1199s)
    Rep 18/100: OK (time=58.5019s)
    Rep 19/100: OK (time=21.2093s)
    Rep 20/100: OK (time=66.1119s)
    Rep 21/100: OK (time=119.6780s)
    Rep 22/100: OK (time=29.4880s)
    Rep 23/100: OK (time=18.6228s)
    Rep 24/100: OK (time=54.7685s)
    Rep 25/100: OK (time=11.7715s)
    Rep 26/100: OK (time=0.5488s)
    Rep 27/100: OK (time=60.1520s)
    Rep 28/100: OK (time=2.2522s)
    Rep 29/100: OK (time=26.4273s)
    Rep 30/100: OK (time=37.2205s)
    Rep 31/100: FAIL (time=120.9360s)
    Rep 32/100: FAIL (time=121.9330s)
    Rep 33/100: OK (time=45.7421s)
    Rep 34/100: FAIL (time=121.9940s)
    Rep 35/100: OK (time=2.6223s)
    Rep 36/100: OK (time=9.2313s)
    Rep 37/100: OK (time=3.4900s)
    Rep 38/100: OK (time=14.8475s)
    Rep 39/100: FAIL (time=120.7620s)
    Rep 40/100: OK (time=15.3101s)
    Rep 41/100: FAIL (time=121.6200s)
    Rep 42/100: OK (time=13.4789s)
    Rep 43/100: FAIL (time=121.6260s)
    Rep 44/100: OK (time=17.1314s)
    Rep 45/100: OK (time=39.9362s)
    Rep 46/100: OK (time=109.0200s)
    Rep 47/100: OK (time=2.2666s)
    Rep 48/100: FAIL (time=121.9450s)
    Rep 49/100: OK (time=12.5541s)
    Rep 50/100: OK (time=50.2723s)
    Rep 51/100: OK (time=10.4014s)
    Rep 52/100: OK (time=8.1782s)
    Rep 53/100: FAIL (time=120.3760s)
    Rep 54/100: OK (time=19.1745s)
    Rep 55/100: OK (time=7.1485s)
    Rep 56/100: OK (time=9.5924s)
    Rep 57/100: OK (time=35.1082s)
    Rep 58/100: OK (time=17.5882s)
    Rep 59/100: OK (time=7.0291s)
    Rep 60/100: OK (time=26.7284s)
    Rep 61/100: OK (time=16.6362s)
    Rep 62/100: OK (time=9.5337s)
    Rep 63/100: OK (time=1.7667s)
    Rep 64/100: OK (time=99.3111s)
    Rep 65/100: OK (time=35.7038s)
    Rep 66/100: OK (time=40.8031s)
    Rep 67/100: OK (time=8.4991s)
    Rep 68/100: FAIL (time=121.7990s)
    Rep 69/100: FAIL (time=120.0050s)
    Rep 70/100: OK (time=32.4125s)
    Rep 71/100: OK (time=1.5305s)
    Rep 72/100: OK (time=2.7980s)
    Rep 73/100: FAIL (time=121.8680s)
    Rep 74/100: FAIL (time=120.3670s)
    Rep 75/100: OK (time=6.8977s)
    Rep 76/100: OK (time=50.9694s)
    Rep 77/100: OK (time=108.1900s)
    Rep 78/100: OK (time=3.4451s)
    Rep 79/100: FAIL (time=120.8400s)
    Rep 80/100: OK (time=20.2830s)
    Rep 81/100: OK (time=7.2773s)
    Rep 82/100: OK (time=113.5430s)
    Rep 83/100: OK (time=39.0247s)
    Rep 84/100: OK (time=32.5098s)
    Rep 85/100: OK (time=37.0955s)
    Rep 86/100: OK (time=24.7777s)
    Rep 87/100: OK (time=5.9524s)
    Rep 88/100: OK (time=8.7160s)
    Rep 89/100: OK (time=17.7817s)
    Rep 90/100: FAIL (time=122.0410s)
    Rep 91/100: OK (time=3.3519s)
    Rep 92/100: OK (time=48.2184s)
    Rep 93/100: FAIL (time=120.6380s)
    Rep 94/100: FAIL (time=120.1490s)
    Rep 95/100: OK (time=12.5720s)
    Rep 96/100: OK (time=52.5677s)
    Rep 97/100: OK (time=4.1956s)
    Rep 98/100: OK (time=11.3990s)
    Rep 99/100: OK (time=78.1327s)
    Rep 100/100: OK (time=26.7871s)
    => success%=81.0 time_mean=30.021802 cycles_mean=1471.63
  [xi=0.5 [25x25]] (7/50) inst25x25_45_14.txt 
    Rep 1/100: OK (time=2.5145s)
    Rep 2/100: OK (time=1.5693s)
    Rep 3/100: OK (time=1.8863s)
