
============================================================
worker start: evap=0.01 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: evap
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: BVE (Evaporation Rate of BestPher) (evap)

[Config 1/1] evap=0.01 on 25x25
  [evap=0.01 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 66/100: OK (time=3.1910s)
    Rep 67/100: OK (time=3.2602s)
    Rep 68/100: OK (time=4.5918s)
    Rep 69/100: OK (time=6.6114s)
    Rep 70/100: OK (time=6.0277s)
    Rep 71/100: OK (time=22.6863s)
    Rep 72/100: OK (time=1.9706s)
    Rep 73/100: OK (time=7.0807s)
    Rep 74/100: OK (time=4.7671s)
    Rep 75/100: OK (time=6.3638s)
    Rep 76/100: OK (time=1.1375s)
    Rep 77/100: OK (time=1.7731s)
    Rep 78/100: OK (time=16.4791s)
    Rep 79/100: OK (time=1.9878s)
    Rep 80/100: OK (time=10.7367s)
    Rep 81/100: OK (time=3.3319s)
    Rep 82/100: OK (time=6.8300s)
    Rep 83/100: OK (time=4.1928s)
    Rep 84/100: OK (time=29.4414s)
    Rep 85/100: OK (time=12.0352s)
    Rep 86/100: OK (time=7.2847s)
    Rep 87/100: OK (time=4.4032s)
    Rep 88/100: OK (time=4.6784s)
    Rep 89/100: OK (time=6.5645s)
    Rep 90/100: OK (time=1.7429s)
    Rep 91/100: OK (time=3.6969s)
    Rep 92/100: OK (time=13.9295s)
    Rep 93/100: OK (time=10.8125s)
    Rep 94/100: OK (time=5.5627s)
    Rep 95/100: OK (time=6.3355s)
    Rep 96/100: OK (time=19.5218s)
    Rep 97/100: OK (time=3.5253s)
    Rep 98/100: OK (time=11.5345s)
    Rep 99/100: OK (time=2.3242s)
    Rep 100/100: OK (time=3.5461s)
    => success%=100.0 time_mean=9.737817 cycles_mean=340.01
  [evap=0.01 [25x25]] (4/50) inst25x25_40_80.txt 
    Rep 1/100: OK (time=6.2995s)
    Rep 2/100: OK (time=4.2182s)
    Rep 3/100: OK (time=1.7752s)
    Rep 4/100: OK (time=3.1455s)
    Rep 5/100: OK (time=5.6543s)
    Rep 6/100: OK (time=1.5628s)
    Rep 7/100: OK (time=1.9909s)
    Rep 8/100: OK (time=1.9424s)
    Rep 9/100: OK (time=0.5784s)
    Rep 10/100: OK (time=3.2022s)
    Rep 11/100: OK (time=1.9360s)
    Rep 12/100: OK (time=14.5907s)
    Rep 13/100: OK (time=3.0787s)
    Rep 14/100: OK (time=5.0775s)
    Rep 15/100: OK (time=1.0646s)
    Rep 16/100: OK (time=6.0202s)
    Rep 17/100: OK (time=5.7651s)
    Rep 18/100: OK (time=2.1207s)
    Rep 19/100: OK (time=2.7853s)
    Rep 20/100: OK (time=4.9268s)
    Rep 21/100: OK (time=0.7028s)
    Rep 22/100: OK (time=5.0832s)
    Rep 23/100: OK (time=0.9874s)
    Rep 24/100: OK (time=2.2870s)
    Rep 25/100: OK (time=4.8914s)
    Rep 26/100: OK (time=3.3402s)
    Rep 27/100: OK (time=8.7902s)
    Rep 28/100: OK (time=5.7388s)
    Rep 29/100: OK (time=4.6563s)
    Rep 30/100: OK (time=2.9805s)
    Rep 31/100: OK (time=1.7787s)
    Rep 32/100: OK (time=0.4984s)
    Rep 33/100: OK (time=2.5940s)
    Rep 34/100: OK (time=3.9566s)
    Rep 35/100: OK (time=11.4868s)
    Rep 36/100: OK (time=2.0463s)
    Rep 37/100: OK (time=1.9410s)
    Rep 38/100: OK (time=4.1818s)
    Rep 39/100: OK (time=5.3387s)
    Rep 40/100: OK (time=1.1846s)
    Rep 41/100: OK (time=2.0981s)
    Rep 42/100: OK (time=5.6324s)
    Rep 43/100: OK (time=14.1845s)
    Rep 44/100: OK (time=0.6501s)
    Rep 45/100: OK (time=3.9488s)
    Rep 46/100: OK (time=2.0423s)
    Rep 47/100: OK (time=2.4240s)
    Rep 48/100: OK (time=0.1947s)
    Rep 49/100: OK (time=9.3002s)
    Rep 50/100: OK (time=5.0812s)
    Rep 51/100: OK (time=2.8618s)
    Rep 52/100: OK (time=7.3648s)
    Rep 53/100: OK (time=1.9704s)
    Rep 54/100: OK (time=6.1179s)
    Rep 55/100: OK (time=0.4985s)
    Rep 56/100: OK (time=1.1681s)
    Rep 57/100: OK (time=1.7309s)
    Rep 58/100: OK (time=4.3937s)
    Rep 59/100: OK (time=1.8039s)
    Rep 60/100: OK (time=5.4171s)
    Rep 61/100: OK (time=3.2710s)
    Rep 62/100: OK (time=2.6982s)
    Rep 63/100: OK (time=1.7576s)
    Rep 64/100: OK (time=3.9618s)
    Rep 65/100: OK (time=3.3315s)
    Rep 66/100: OK (time=3.7496s)
    Rep 67/100: OK (time=0.8817s)
    Rep 68/100: OK (time=4.8058s)
    Rep 69/100: OK (time=4.0273s)
    Rep 70/100: OK (time=7.0034s)
    Rep 71/100: OK (time=0.7412s)
    Rep 72/100: OK (time=4.1272s)
    Rep 73/100: OK (time=4.2051s)
    Rep 74/100: OK (time=1.8415s)
    Rep 75/100: OK (time=6.9043s)
    Rep 76/100: OK (time=6.2869s)
    Rep 77/100: OK (time=2.2182s)
    Rep 78/100: OK (time=4.3031s)
    Rep 79/100: OK (time=3.8283s)
    Rep 80/100: OK (time=2.5940s)
    Rep 81/100: OK (time=4.3703s)
    Rep 82/100: OK (time=1.4385s)
    Rep 83/100: OK (time=0.9448s)
    Rep 84/100: OK (time=3.0112s)
    Rep 85/100: OK (time=2.0707s)
    Rep 86/100: OK (time=3.5281s)
    Rep 87/100: OK (time=0.6700s)
    Rep 88/100: OK (time=3.0004s)
    Rep 89/100: OK (time=0.8575s)
    Rep 90/100: OK (time=8.2179s)
    Rep 91/100: OK (time=1.6081s)
    Rep 92/100: OK (time=7.0321s)
    Rep 93/100: OK (time=1.1770s)
    Rep 94/100: OK (time=14.4653s)
    Rep 95/100: OK (time=5.2578s)
    Rep 96/100: OK (time=2.3339s)
    Rep 97/100: OK (time=4.0467s)
    Rep 98/100: OK (time=1.7723s)
    Rep 99/100: OK (time=0.9214s)
    Rep 100/100: OK (time=3.1413s)
    => success%=100.0 time_mean=3.734861 cycles_mean=133.38
  [evap=0.01 [25x25]] (5/50) inst25x25_40_9.txt 
    Rep 1/100: OK (time=4.9657s)
    Rep 2/100: OK (time=18.9867s)
    Rep 3/100: OK (time=2.0486s)
    Rep 4/100: OK (time=0.9307s)
    Rep 5/100: OK (time=2.8200s)
    Rep 6/100: OK (time=2.9758s)
    Rep 7/100: OK (time=7.9922s)
    Rep 8/100: OK (time=2.1032s)
    Rep 9/100: OK (time=3.1182s)
    Rep 10/100: OK (time=1.2862s)
    Rep 11/100: OK (time=7.6510s)
    Rep 12/100: OK (time=2.2170s)
    Rep 13/100: OK (time=2.6510s)
    Rep 14/100: OK (time=4.2320s)
    Rep 15/100: OK (time=2.2365s)
    Rep 16/100: OK (time=4.0778s)
