
============================================================
worker start: entropyPct=97.125 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: entropyPct
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Entropy Threshold (% of Max Entropy) (entropyPct)

[Config 1/1] entropyPct=97.125 on 25x25
  [entropyPct=97.125 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 47/100: OK (time=31.3790s)
    Rep 48/100: OK (time=0.8209s)
    Rep 49/100: OK (time=9.4508s)
    Rep 50/100: OK (time=1.3110s)
    Rep 51/100: OK (time=16.4697s)
    Rep 52/100: OK (time=7.5082s)
    Rep 53/100: OK (time=1.6253s)
    Rep 54/100: OK (time=6.2110s)
    Rep 55/100: OK (time=7.1321s)
    Rep 56/100: OK (time=6.6434s)
    Rep 57/100: OK (time=2.7237s)
    Rep 58/100: OK (time=7.2545s)
    Rep 59/100: OK (time=7.7511s)
    Rep 60/100: OK (time=6.1162s)
    Rep 61/100: OK (time=3.6853s)
    Rep 62/100: OK (time=2.5145s)
    Rep 63/100: OK (time=6.4204s)
    Rep 64/100: OK (time=6.1612s)
    Rep 65/100: OK (time=6.5026s)
    Rep 66/100: OK (time=4.2819s)
    Rep 67/100: OK (time=0.7590s)
    Rep 68/100: OK (time=9.9576s)
    Rep 69/100: OK (time=16.3554s)
    Rep 70/100: OK (time=1.9057s)
    Rep 71/100: OK (time=6.2150s)
    Rep 72/100: OK (time=1.4262s)
    Rep 73/100: OK (time=1.7717s)
    Rep 74/100: OK (time=8.5240s)
    Rep 75/100: OK (time=12.7916s)
    Rep 76/100: OK (time=4.9301s)
    Rep 77/100: OK (time=19.4299s)
    Rep 78/100: OK (time=9.3907s)
    Rep 79/100: OK (time=8.5109s)
    Rep 80/100: OK (time=3.0758s)
    Rep 81/100: OK (time=10.6173s)
    Rep 82/100: OK (time=3.0374s)
    Rep 83/100: OK (time=16.3254s)
    Rep 84/100: OK (time=1.5290s)
    Rep 85/100: OK (time=31.0765s)
    Rep 86/100: OK (time=10.3261s)
    Rep 87/100: OK (time=6.1153s)
    Rep 88/100: OK (time=9.7969s)
    Rep 89/100: OK (time=2.2611s)
    Rep 90/100: OK (time=1.9608s)
    Rep 91/100: OK (time=3.1529s)
    Rep 92/100: OK (time=1.2706s)
    Rep 93/100: OK (time=4.7163s)
    Rep 94/100: OK (time=6.3460s)
    Rep 95/100: OK (time=15.1368s)
    Rep 96/100: OK (time=6.9875s)
    Rep 97/100: OK (time=15.4767s)
    Rep 98/100: OK (time=18.1302s)
    Rep 99/100: OK (time=0.7674s)
    Rep 100/100: OK (time=1.3290s)
    => success%=100.0 time_mean=7.380578 cycles_mean=280.73
  [entropyPct=97.125 [25x25]] (4/50) inst25x25_40_80.txt 
    Rep 1/100: OK (time=1.5028s)
    Rep 2/100: OK (time=2.7025s)
    Rep 3/100: OK (time=7.3305s)
    Rep 4/100: OK (time=1.5950s)
    Rep 5/100: OK (time=3.4612s)
